,Margin,Study,Most Common Choice,Most Common Choice Picked,Average Choice
Subj_1,-1800,Horstmann,2,42,2.38
Subj_2,-800,Horstmann,2,35,2.7
Subj_3,-450,Horstmann,2,42,2.46
Subj_4,1200,Horstmann,4,35,2.85
Subj_5,-1300,Horstmann,2,31,2.65
Subj_6,-1200,Horstmann,2,74,2.1
Subj_7,400,Horstmann,2,39,2.68
Subj_8,-1000,Horstmann,1,30,2.42
Subj_9,700,Horstmann,2,39,2.69
Subj_10,-100,Horstmann,2,45,2.38
Subj_11,50,Horstmann,2,34,2.39
Subj_12,150,Horstmann,3,30,2.63
Subj_13,-50,Horstmann,2,37,2.92
Subj_14,-200,Horstmann,2,37,2.5
Subj_15,50,Horstmann,2,31,2.56
Subj_16,650,Horstmann,3,43,2.69
Subj_17,-1500,Horstmann,2,70,2.19
Subj_18,-850,Horstmann,4,48,2.93
Subj_19,-250,Horstmann,2,41,2.39
Subj_20,450,Horstmann,2,45,2.82
Subj_21,-750,Horstmann,4,29,2.49
Subj_22,600,Horstmann,2,48,2.51
Subj_23,-900,Horstmann,4,41,2.74
Subj_24,350,Horstmann,2,34,2.57
Subj_25,950,Horstmann,3,53,2.58
Subj_26,1100,Horstmann,4,53,3.24
Subj_27,-300,Horstmann,2,33,2.26
Subj_28,200,Horstmann,4,54,3.13
Subj_29,-300,Horstmann,2,31,2.44
Subj_30,400,Horstmann,2,44,2.6
Subj_31,750,Horstmann,3,50,2.59
Subj_32,-600,Horstmann,4,31,2.58
Subj_33,500,Horstmann,4,51,3.08
Subj_34,-400,Horstmann,2,53,2.55
Subj_35,850,Horstmann,3,27,2.47
Subj_36,-300,Horstmann,2,45,2.31
Subj_37,350,Horstmann,2,35,2.55
Subj_38,-1500,Horstmann,2,67,2.52
Subj_39,-2100,Horstmann,2,52,2.4
Subj_40,1000,Horstmann,2,35,2.89
Subj_41,350,Horstmann,3,47,2.64
Subj_42,50,Horstmann,2,35,2.29
Subj_43,-50,Horstmann,2,39,2.57
Subj_44,-1050,Horstmann,4,44,2.63
Subj_45,-1300,Horstmann,2,48,2.31
Subj_46,-300,Horstmann,4,61,3.25
Subj_47,-250,Horstmann,4,40,2.69
